Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Education,Funding/Resources,Lack of resources for schools and classrooms to meet the range of needs/strengths of students.,7,03/01/2010 08:00:00 AM +0000
Education,Funding/Resources,Lack of sufficient support for kids who are not succeeding in school,20,03/15/2010 07:00:00 AM +0000
Education,Funding/Resources,Lack of tangible support in school systems and pre-k systems i.e.: translators.,SEEC Directors,03/18/2010 07:00:00 AM +0000
Education,Funding/Resources,"Less money to police officers, the money should go to school supports instead.",Garfield Teen Life Center Young Men's Group,04/21/2010 07:00:00 AM +0000
Education,Funding/Resources,More funds in schools; recognized US behind,14,03/08/2010 08:00:00 AM +0000
Education,Funding/Resources,More money for schools,6,04/08/2010 07:00:00 AM +0000
Education,Funding/Resources,more scholarship opportunities,Ethiopian Youth Media Group A,05/03/2010 07:00:00 AM +0000
Education,Funding/Resources,more scholarship opportunities,Ethiopian Youth Media group B,05/03/2010 07:00:00 AM +0000
Education,Funding/Resources,More sustainable schools,Hamilton Middle School,03/01/2010 08:00:00 AM +0000
Education ,Funding/Resources,Need for long term investment in students and schools,5,03/22/2010 07:00:00 AM +0000
Education,Funding/Resources,"Need stable, consistent, predictable funding for public schools","Northwest community, group A",05/03/2010 07:00:00 AM +0000
Education ,Funding/Resources,Not enough funding for school system,3,03/22/2010 07:00:00 AM +0000
Education,Funding/Resources,Not enough money for schools,Hope for Youth Group B,05/03/2010 07:00:00 AM +0000
Education,Funding/Resources,Not enough money for schools,Youth Ambassadors,03/21/2010 07:00:00 AM +0000
Education,Funding/Resources,Not enough resources; better funding allocation of resources; we're not making the school the center of our community; we're disenfranchised.,6,03/01/2010 08:00:00 AM +0000
Education,Funding/Resources,Provide education resources for children to use at home.,16,03/08/2010 08:00:00 AM +0000
Education,Funding/Resources,"public universities are too expensive, students are afraid they don’t have enough money and its makes them not try",Seattle Youth Employment,04/27/2010 07:00:00 AM +0000
Education,Funding/Resources,Put resources to help kids catch up to grade level,11,03/15/2010 07:00:00 AM +0000
Education ,Funding/Resources,Resources are not shared across schools,3,03/22/2010 07:00:00 AM +0000
Education,Funding/Resources,resources for Seattle H.S. are unequal,One America,04/20/2010 07:00:00 AM +0000
Education,Funding/Resources,school spending on things that aren't necessary,Seattle Youth Employment,04/27/2010 07:00:00 AM +0000
Education,Funding/Resources,"Schools need more teachers, more help, smaller classes",14,03/15/2010 07:00:00 AM +0000
Education,Funding/Resources,Stable school system,Roosevelt Neighborhood Assc.,03/23/2010 07:00:00 AM +0000
Education,Funding/Resources,"Students continue to show up for school ill-equipped for success due to socio-economic factors.  The programs funded from the levy help to mitigate these issues.  For example, Washington Middle School has over 70 tutors from the community who make a daily and noticeable impact to the school.  We need to continue to help ALL students, especially those already getting the short end of the stick.  Thank you.",Web,
Education,Graduation Rates,School is hard/boring- reason for dropout rate,9,03/15/2010 07:00:00 AM +0000
Education,Funding/Resources,"Support for safe, productive programs that involve the children after school and access to health care in a real time basis. Funding for in-school nurse and after school programs.",Web,
Education,Funding/Resources,"Systems that funds, supports, and address all students learning styles",Next Steps Coalition -- Group A,04/15/2010 07:00:00 AM +0000
Education,Funding/Resources,The education funding is highly cut.,Chinese community,04/09/2010 07:00:00 AM +0000
Education ,Funding/Resources,"There's a lack of funding for education, and what funding there is, is not distributed equally.",6,03/22/2010 07:00:00 AM +0000
Education,Funding/Resources,Updated resources in schools ,3,04/08/2010 07:00:00 AM +0000
Education,Funding/Resources,"Upgrade school facilities: buildings, books, technology",17,03/15/2010 07:00:00 AM +0000
Education,Funding/Resources,"We want to serve ALL students, but the traditional k-12 classroom in public schools cannot meet the needs of all students.  We need additional support dollars to maintain programs that support students who need academic enrichment or socio-emotional/mental health services that their families cannot provide for them.",Web,
Education,Graduation Rates,1. Not enough high school students graduate AND are ready for college.,Young Democrats Group D,05/02/2010 07:00:00 AM +0000
Education,Graduation Rates,2. There is a huge disparity in graduation rates,Partnership Council,04/06/2010 07:00:00 AM +0000
Education,Graduation Rates,"Addressing the drop-out rates with after school programs, tutoring, teacher interfacing and collaboration",A+ Group B,05/06/2010 07:00:00 AM +0000
Education,Graduation Rates,Budget restraints on schools/grad rates,View Ridge Community Council Group A,04/20/2010 07:00:00 AM +0000
Education,Graduation Rates,"Catch students in schools, provide safety net for dropouts; every student has an adult mentor/supporter; nonprofits and community organizations partnering with schools (need $$); incentives for student success.",18,03/01/2010 08:00:00 AM +0000
Education,Graduation Rates,Decrease dropout rates; hold schools accountable,3,02/22/2010 08:00:00 AM +0000
Education,Graduation Rates,"Disparity of drop out rates between students of color and whites - students of color are not ready for college, students of color are not perceived as being able to perform academically, students of color are put into special education classes.",Organizing for Seattle,04/17/2010 07:00:00 AM +0000
Education ,Graduation Rates,Drop out crisis,17,03/22/2010 07:00:00 AM +0000
Education ,Graduation Rates,Drop-out crisis: four of the high schools in Seattle contribute most of the drop outs.,16,03/22/2010 07:00:00 AM +0000
Education,Graduation Rates,Dropout rate and lost opportunities of not having a diploma.,7,03/01/2010 08:00:00 AM +0000
Education,Graduation Rates,"Dropout rate, many reasons. We're not meeting our kids' needs; not enough community and family involvement.",6,03/01/2010 08:00:00 AM +0000
Education,Graduation Rates,"Drop-out rates of African-American, Latino, and Children of Color are too high.",SEEC Assessment Group,03/10/2010 08:00:00 AM +0000
Education,Graduation Rates,Graduation rates,16,03/15/2010 07:00:00 AM +0000
Education,Graduation Rates,Graduation rates,Central District community members,04/18/2010 07:00:00 AM +0000
Education,Graduation Rates,High drop out rate,"Northwest community, group A",05/03/2010 07:00:00 AM +0000
Education,Graduation Rates,High drop out rates and lack of support for higher education.  Pass the Dream Act.,El Centro de la Raza parent group,04/07/2010 07:00:00 AM +0000
Education,Graduation Rates,High School drop-out rates,7,04/08/2010 07:00:00 AM +0000
Education,Graduation Rates,High school dropout rates/disparities in graduation rates/correlation between teen health behaviors and dropout rates,Public Health Advocates and Care Providers,05/04/2010 07:00:00 AM +0000
Education,Graduation Rates,"Increasing graduation rate: holding principals, administration accountable. Helping kids in school get more wraparound services and decreasing dropout rate. Keeping kids more engaged in school.",8,03/08/2010 08:00:00 AM +0000
Education,Graduation Rates,Low graduation rates,7,02/22/2010 08:00:00 AM +0000
Education,Graduation Rates,Low graduation rates,9,03/01/2010 08:00:00 AM +0000
Education,Graduation Rates,"More teachers, resources, and space in classrooms to be able to graduate on time",University House,04/05/2010 07:00:00 AM +0000
Education,Graduation Rates,Need for more different pathways to middle and high school graduation,10,03/15/2010 07:00:00 AM +0000
Education,Graduation Rates,Robust dropout recovery programs,1,03/08/2010 08:00:00 AM +0000
Education,Graduation Rates,School District needs to address school drop-out.,"Seattle Parks Employees (CLC, TDL, AC)",05/11/2010 07:00:00 AM +0000
Education,Graduation Rates,There are too many dropouts.,5,03/08/2010 08:00:00 AM +0000
Education,Graduation Rates,"Too high dropout rate, especially with minority students.",2,03/01/2010 08:00:00 AM +0000
Education,Graduation Requirements,Too many graduation requirements,10,04/08/2010 07:00:00 AM +0000
Education,Higher Education,"1.  I/we want opportunities for our children, so they have choices as adults - such as going to college.  I want our children to be prepared for school as a small child and prepared for the future with skills such as listening, collaborating and problem solving.",Web,
Education,Higher Education,100% of students attend post high school education.,22,03/01/2010 08:00:00 AM +0000
Education,Higher Education,affordability for college and technical school,3,04/08/2010 07:00:00 AM +0000
Education,Higher Education,Cutting back on higher education,Hope for Youth Group A,05/03/2010 07:00:00 AM +0000
Education,Higher Education,For children (high school) to be given necessary tools to prepare for work and college. ,Web,
Education,Higher Education,Lack of money/funding for college,10,04/08/2010 07:00:00 AM +0000
Education,Higher Education,"None of our children are adequately prepared after high school to be able to live solo in the world and unable to access next steps in education, career, 2-year Tech Colleges, and 4-year university.",16,03/01/2010 08:00:00 AM +0000
Education,Higher Education ,Not believing that college is a possibility.,11,03/01/2010 08:00:00 AM +0000
Education,Higher Education,not enough help for students to get into higher education,Hope for Youth Group B,05/03/2010 07:00:00 AM +0000
Education,Higher Education,"Scholarship programs: college-bound kids and parents, especially immigrants who need retraining.",11,03/08/2010 08:00:00 AM +0000
Education,Higher Education,"students don’t have enough access to college resources, don’t know how to apply",Seattle Youth Employment,04/27/2010 07:00:00 AM +0000
Education,Higher Education,"students have to work hard to know how to go to college, especially hard for immigrant populations when they have to seek out how to apply for school and scholarships",One America,04/20/2010 07:00:00 AM +0000
Education,Higher Education,Support for additional secondary education and workforce training,5,04/08/2010 07:00:00 AM +0000
Education,Higher Education,The youth are lack of information to access financial aids and fail to attend college.,Chinese community,04/09/2010 07:00:00 AM +0000
Education,Higher Education,We don't have any plans or funds to go to college. We are refugee youth without adequate resources. Our parents don't have income and depend on government checks.,15,04/08/2010 07:00:00 AM +0000
Education,Higher Education,"We want rigorous education that offers our students instruction in academic areas needed to enter universities and colleges.  We also need support for families and students to help them reach their academic goals including family supports to help families negotiate the systems in place that help students succeed, programs after school to keep students involved or give them extra help, translation help for families that are non-native English speakers.",Web,
Education,Job Preparation,Better preparation for post-high school,1,03/08/2010 08:00:00 AM +0000
Education,Job Preparation,Lessons have to be connected to jobs/income,SE Senior Center,04/06/2010 07:00:00 AM +0000
Education,Longer School Day,"Archaic school structure and schedules - more innovative alternative programs in failing schools, longer school days that start later, autonomy for teachers in failing schools, innovative leadership.",Organizing for Seattle,04/17/2010 07:00:00 AM +0000
Education,Longer School Day,"Cuts to school programs in music, P.E., art, and library; after-school programs are inadequate; we need longer school day; make study halls available for tutoring and doing homework ",University House,04/05/2010 07:00:00 AM +0000
Education,Longer School Day,Lack of time in school day to do it all,Seattle Art Museum-- Group B,04/29/2010 07:00:00 AM +0000
Education ,Marginalized Students,lack of support to bring failing kids and kids in trouble back into society; involve juvenile justice system.,8,03/22/2010 07:00:00 AM +0000
Education ,Marginalized Students,Not enough tutoring & social services for at risk youth,3,03/22/2010 07:00:00 AM +0000
Education ,Mentoring,Lack of mentoring support & in school resources,19,03/22/2010 07:00:00 AM +0000
Education,Middle School,Lack of resources and role models in middle schools,"Northwest community, group A",05/03/2010 07:00:00 AM +0000
Education,Middle School,"Middle school is the toughest. Coming of age, race, sexual orientation, culture, should be talked about in middle school.",People of Color Against AIDS Network,05/13/2010 07:00:00 AM +0000
Education,More Class Time,Fewer furlough days,16,04/08/2010 07:00:00 AM +0000
Education,More Class Time,out of date school year/day structure,View Ridge Community Council Group A,04/20/2010 07:00:00 AM +0000
Education,More Teachers,More teachers,West Seattle High School,03/23/2010 07:00:00 AM +0000
Education,Professional Development,Better quality teacher support & training & funding for classroom support,15,03/15/2010 07:00:00 AM +0000
Education,Professional Development,Education and professional development to meet increased requirements for teacher education.,Early Childhood Education Group,04/07/2010 07:00:00 AM +0000
Education,Professional Development,Need for cultural understanding and competency in curriculum and teacher/staff professional development,17,03/08/2010 08:00:00 AM +0000
Education,Professional Development,"Need more training for teachers, not organized and don't have the education in the subject they are teaching",Development Class,05/10/2010 07:00:00 AM +0000
Education,Professional Development,Not enough funding & resources for professional development of teachers.,18,03/15/2010 07:00:00 AM +0000
Education,Professional Development,"Professional development for teachers, principals, and administrators",13,03/15/2010 07:00:00 AM +0000
Education,Professional Development,"Teachers not prepared or supported: professional development, tools, and ratio of students to teachers.",14,03/01/2010 08:00:00 AM +0000
Education,Professional Development,Trainings for teachers: cultural trainings and cross-cultural training,8,03/01/2010 08:00:00 AM +0000
Education,Quality Education,1 - high quality education,Web,
Education,Quality Education,"1) I want safe, comprehensive schools. Schools that have a broad spectrum of educational opportunities, arts and foreign languages. ",Web,
Education,Quality Education,"1. High performing schools for all ages that are innovative, fun, and safe.",Web,
Education,Quality Education,"1. I want my children to receive the best possible public education available to them. I want them to be in an environment that is safe, consistent and conducive to their learning.",Web,
Education,Quality Education,Access to an education that is current with necessary technology that is pervasive in our society.,Web,
Education,Quality Education,"Alternative schools are too easy, need tests to prepare students for work and college.",Garfield Teen Life Center Young Men's Group,04/21/2010 07:00:00 AM +0000
Education,Quality Education,Appropriate math & science challenge level,4,03/15/2010 07:00:00 AM +0000
Education,Quality Education,Better education and equity,Web,
Education,Quality Education,Better education system,16,04/08/2010 07:00:00 AM +0000
Education,Quality Education,Better student/teacher relationships,Youth Ambassadors,03/21/2010 07:00:00 AM +0000
Education,Quality Education,Education: Lack of support/respect of students by authority figures; delivery of education is obsolete.,4,03/08/2010 08:00:00 AM +0000
Education,Quality Education,Ensuring literacy by third grade and beyond,3,03/15/2010 07:00:00 AM +0000
Education,Quality Education,Grade improvement with grade level ability,4,03/15/2010 07:00:00 AM +0000
Education,Quality Education,"Low quality education, compared to other schools.",6,03/15/2010 07:00:00 AM +0000
Education,Quality Education,Quality schools,Franklin High School,03/23/2010 07:00:00 AM +0000
Education,Quality Education,Reading early by 3rd grade is critical.,6,03/01/2010 08:00:00 AM +0000
Education,Quality Education,Relevancy of education today in preparing students for tomorrow,15,03/15/2010 07:00:00 AM +0000
Education,Quality Education,School system does not maintain clear academic standards or articulate a vision to students of a well-educated life.,10,03/08/2010 08:00:00 AM +0000
Education,Quality Education,Supporting a well rounded education,1,03/15/2010 07:00:00 AM +0000
Education,Quality Education,System is not good for teachers and students,Hidmo Empowerment Project,
Education,Quality Education,"Want our children to have high quality education, a stable family life, and encouragement to try new things and reach for their goals. ",Web,
Education,Quality Education,"We want our children to have access to high quality rigorous academic coursework, quality teachers and administrators, before and after school programs and readiness for college and work.",Web,
Education,Quality Education,"Well-rounded education with stability--to be able to know what kind of program my children will face in the next 6 years.  Which is why we haven't been able to enroll in the public schools.  ?Science?  not until older grades.  ?Geography?  Not until older grades.  History, not until older grades.  I'm ashamed.",Web,
Education,School Boundaries,Regarding school boundaries or district parameters for enrollment purposes:,Latino community,04/20/2010 07:00:00 AM +0000
Education,School Choice,Concern about new student assignment plan sending children to less quality.  Parents should have the choice of where their children go to school especially when the neighborhood is not good,Somali community,04/22/2010 07:00:00 AM +0000
Education,School Choice,Keep school choice,Hamilton Middle School,03/01/2010 08:00:00 AM +0000
Education,School Choice,Parents to choose what schools their children go to,Vietnamese Speaking Community,04/22/2010 07:00:00 AM +0000
Education,School Closures,2. School closures. My son is now attending his fourth school in the last four years. It is hard to establish consistency and stability when the learning environment is continually changing.,Web,
Education,School Closures,No schools closure,Casa Latina,05/06/2010 07:00:00 AM +0000
Education,School Closures,Reversing school closures,13,03/15/2010 07:00:00 AM +0000
Education,School Improvement,Education reform/reinventing schools,13,02/22/2010 08:00:00 AM +0000
Education,School Improvement,Improve Seattle schools,Belltown Community Group C,04/28/2010 07:00:00 AM +0000
Education,School Improvement,Increase school performance compared to other,Belltown Community Group B,04/28/2010 07:00:00 AM +0000
Education,School Support Workers,"Also, its my observation that our schools are having to do a lot more than teach our children, particularly in the social service area.  I'd propose that the City fund social service workers in the school buildings, allowing SPS to take certain staff off their payroll, so SPS can adequately staff classrooms.",Web,
Education,School Support Workers,"Five way tie for the second highest priority between not taking away before/after school programs, not cutting school psychologist and other staff, neighborhood safety, the critical need for youth recreational and school-based activities including sex education and sex counseling classes, and the need for resources to assist Latinas and their children suffering from domestic abuse.",Latino community,04/22/2010 07:00:00 AM +0000
Education,School Support Workers,Individualize the student more with a one-on-one relationship/collaboration with family support/social workers and tutors.,4,02/22/2010 08:00:00 AM +0000
Education ,School Support Workers,"Lack of support services for basic provisions in the schools (on site) -social, health, family, counselors, nurses.",19,03/22/2010 07:00:00 AM +0000
Education,School Support Workers,"School Support Workers (nurses, librarians, counselors, family support workers, social workers)",6,03/08/2010 08:00:00 AM +0000
Education,School Support Workers,Too few counselors to assist with psychological needs of children. Teachers can't do it all.,2,03/08/2010 08:00:00 AM +0000
Education,Special Education,"Families of children with disabilities need advocates who can straddle both the school and city bureaucracies and help families access services, solve problems, and find resources. Difficult to advocate for a child with disabilities; impossible for families who don’t understand the system, don’t speak the language; “cultural ignorance” of disabilities; self-denial of services due to a lack of info Deep concern that there are large numbers of families with children with disabilities whose voices are not being heard.  Their lives are overwhelmingly difficult and barriers of language, limited education, and scarce financial means prevent them from access to advocacy channels and practical assistance. Even well-educated, fairly-resourceful families find navigating ""the system"" to get support for their children to be hard; specifically with regard to schools, they often have the distinct perception that the district is not a partner but an adversary. Closures of community centers/pools; cutting programs for kids with disabilities Better communications/Clearing House for social services",Special Ed PTSA,05/12/2010 07:00:00 AM +0000
Education,Special Education,Teachers need training on how to deal w/different behaviors. Not enough activities for these children. Not special ed. ,People of Color Against AIDS Network,05/13/2010 07:00:00 AM +0000
Education,Standards,Lack of a baseline education standard that is mutually agreed upon by community & infrastructure of government.,5,03/01/2010 08:00:00 AM +0000
Education,Standards,Lean more on academic other than sports,4,02/22/2010 08:00:00 AM +0000
Education,Teacher Diversity,Lack of educators of color,Hidmo Empowerment Project,
Education,Teacher Diversity,"more teachers of color, fewer white teachers in communities of color",Youth Undoing Institutional Racism Group B,04/13/2010 07:00:00 AM +0000
Education,Teacher Diversity,"Outsourced teachers from different communities, teachers not from community",Hidmo Empowerment Project,
Education,Teacher Pay,increased pay for educators and social service employees with increased education and training to provide high quality education and family services in our community,United Indians Family Support Workers,04/19/2010 07:00:00 AM +0000
Education,Teacher Pay,"Pay good teachers well, provide tools and supports for success in the classroom",Seattle Central Community College Group B,05/10/2010 07:00:00 AM +0000
Education,Teacher Quality,5. Our school district is not attracting high quality teachers.,Young Democrats Group C,04/18/2010 07:00:00 AM +0000
Education,Teacher Quality,Bad teachers,Students Against Violence Everywhere Group C,04/15/2010 07:00:00 AM +0000
Education,Teacher Quality,Better quality teachers,2,04/08/2010 07:00:00 AM +0000
Education ,Teacher Quality,Better way to get rid of bad teachers.,19,03/22/2010 07:00:00 AM +0000
Education,Teacher Quality,Education - Academic Issues: Improved test scores; high standards and expectations for all students; improved quality of teachers. Education - Systemic Issues:  Improved dropout rate; quality of schools equal in district; eliminate racial disproportionality; extend Seattle Youth Violence Prevention Initiative.,1,03/01/2010 08:00:00 AM +0000
Education,Teacher Quality,"Educators and youth workers are not valued, supported and given agency to make change",Seattle Art Museum-- Group A,04/29/2010 07:00:00 AM +0000
Education,Teacher Quality,Educators need to be prepared and supported to teach all of our kids well.,5,02/22/2010 08:00:00 AM +0000
Education,Teacher Quality,Lack of and removal of resources for teachers.,5,03/01/2010 08:00:00 AM +0000
Education,Teacher Quality,Need rigorous curriculum and quality teachers.  School Board Directors need to advocate for their districts.,SE parents and community advocates,
Education,Teacher Quality,not enough cultivation of diverse and competent teachers with continuing professional development,The Vera Project -- Group B,04/08/2010 07:00:00 AM +0000
Education,Teacher Quality,"not enough effective and supportive teachers, don't teach in a way that’s inclusive of everybody",Seattle Youth Employment,04/27/2010 07:00:00 AM +0000
Education,Teacher Quality,Quality teachers will help our students achieve,Web,
Education,Teacher Quality,Seniority over-rides quality teaching,Hidmo Empowerment Project,
Education,Teacher Quality,Teacher quality,"Northwest community, group C",05/03/2010 07:00:00 AM +0000
Education ,Teacher Quality,Teachers have too much job security at the expense of teacher quality,3,03/22/2010 07:00:00 AM +0000
Education,Teacher Quality,Teachers need to respect students and create a nurturing environment.,16,03/08/2010 08:00:00 AM +0000
Education,Teacher Quality,Teachers play huge role in student's lives - responsibility not just a job.,Students Against Violence Everywhere Group A,04/15/2010 07:00:00 AM +0000
Education ,Teacher Quality,Uneven quality of teachers,9,03/22/2010 07:00:00 AM +0000
Education,Teachers,Teachers/Education,Students Against Violence Everywhere Group B,04/15/2010 07:00:00 AM +0000
Education,Testing,"My child does well in school, gets good grades yet fails the WASL",14,03/15/2010 07:00:00 AM +0000
Education,Testing,"Narrow, test based curriculum perpetuates the opportunity gap",Seattle Art Museum-- Group A,04/29/2010 07:00:00 AM +0000
Education ,Testing,"Test-based school culture (WASL, NCLB) instead of focus on student needs",14,03/22/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,"Drugs, people get addicted trapped in cycle, making it harder to get a job",Hope for Youth Group D,05/03/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,Drunk driving/Drugs,4,04/08/2010 07:00:00 AM +0000
Education,Transitions,"I want all students ready to learn  at grade level without the distractions caused by struggling families and violence in their lives. If students come into middle school prepared for middle school curriculum.....reading and doing math at grade level, then they will be able to complete three years' worth of middle school work and be prepared for high school and then college or careers. When they come to 6th grade 2 or more years behind, it is very difficult for them to be ready for high school. It is not uncommon for me to have students in my 6th grade class reading at a 2nd or 3rd grade level; that makes it extremely difficult for them to master the material they are expected to master in middle school.",Web,
Education ,Transitions,More preparation for middle schooler's to transition to high school,10,03/22/2010 07:00:00 AM +0000
Education,Transitions,"Need for supportive teachers in transition; middle school, high school, post secondary",17,03/08/2010 08:00:00 AM +0000
Education,Transportation,bus transportation access for children at their assigned schools,East African Community Group B,04/30/2010 07:00:00 AM +0000
Education,Transportation,"It is dangerous for kids to walk to school, elementary school kids are too young to walk back and forth from school to home (not within reasonable 1 mile zone and no school bus transportation)",Chinese community,04/22/2010 07:00:00 AM +0000
Education,Transportation,School needs to provide transportation to elementary and middle school students,Vietnamese Speaking Community,04/22/2010 07:00:00 AM +0000
Health,Access," Adult health problems from living in refugee camp, especially for those with no job and no insurance",Refugee Women's Alliance -- Bhutanese community,05/16/2010 07:00:00 AM +0000
Health,Access,1.  I want to increase access and support for health care services.  ,Web,
Health,Children," Children’s health problems, age 18-21",Refugee Women's Alliance -- Bhutanese community,05/16/2010 07:00:00 AM +0000
Health,Children,3.  Children are too unhealthy—they are not eating well or exercising and they don’t have sufficient healthcare.,Young Democrats Group D,05/02/2010 07:00:00 AM +0000
Health,Access,"1.  Ultimately, reaching one's potential and contributing to society in a productive and meaningful way is determined by health and educational statuses, equal opportunities to engage in activities that promote physical and emotional health, and that create a feeling of connectedness to one's community.  In my view, accomplishing these goals requires the ability of our citizens to understand and to have access to opportunities that promote their well-being from womb to tomb.  This means collaboration among agencies that promote pre-natal health; pre-K programs that prepare all children to reach kindergarten with reasonably consistent skill levels; and programs that support families experiencing barriers that preclude providing optimal stimulation, nutrition, and safety for their children.",Web,
Health,Access,4. too many closed community health clinics,Young Democrats Group B,04/20/2010 07:00:00 AM +0000
Health,Access,Access and equity in healthcare.,1,03/01/2010 08:00:00 AM +0000
Health,Access,access to assistive technology and medical equipment,Seattle Commission for People with Disabilities-- Group C,05/12/2010 07:00:00 AM +0000
Health,Access,"Access to Health Care for kids and families – insurance, etc. – paying co-pays none leftover.",15,02/22/2010 08:00:00 AM +0000
Health,Access,"Access to health care, a safe environment, skill sets, leadership opportunities.  The biggest issue, as I see it today, is financial.",Web,
Health,Access,Access to physical/mental health care for all kids.,13,03/01/2010 08:00:00 AM +0000
Health,Access,Access to treatment for mental health and chemical dependency,Homeless Single Mothers,04/06/2010 07:00:00 AM +0000
Health,Access,Assistance with health services,4,03/01/2010 08:00:00 AM +0000
Health,Access,Better health insurance,Hamilton Middle School,03/01/2010 08:00:00 AM +0000
Health,Access,Equal access health care for everyone,16,03/22/2010 07:00:00 AM +0000
Health,Access,"free medical, dental and health services for all",At-risk youth,04/14/2010 07:00:00 AM +0000
Health,Access,Health Care Access,Latino community,04/13/2010 07:00:00 AM +0000
Health,Access,"Health:   1) Increase access to low-cost health care/insurance 2) Bring nurse care/health care to all schools – full-day health services/all week. 3) Need Health Initiative (partnership with organizations, e.g., the YMCA and more physical education time).",10,03/01/2010 08:00:00 AM +0000
Health,Access,Healthcare Access,Latino community,04/15/2010 07:00:00 AM +0000
Health,Access,Lack of affordable health insurance for the immigrant community,Amharic-speaking community,04/10/2010 07:00:00 AM +0000
Health,Access,Lack of resources:  quality health care and information.,Black Star Line,03/21/2010 07:00:00 AM +0000
Health,Access,"Need for meaningful, quality healthcare and wraparound services for every child and family",Horizon House,04/12/2010 07:00:00 AM +0000
Health,Access,No health care,12,03/22/2010 07:00:00 AM +0000
Health,Access,Universal healthcare,7,03/15/2010 07:00:00 AM +0000
Health,Access,Universal healthcare,Denise Louie Group A,04/30/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,"Cheap liquor in poor, depressed neighborhoods.",17,04/08/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,Drug & alcohol abuse,24,04/08/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,Drug use all across community among youth and families too high – inadequate rehab and support to reduce recidivism.,9,02/22/2010 08:00:00 AM +0000
Health,Alcohol and Drugs,Drug Use: illegal and over-the-counter,13,04/08/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,Drugs,23,04/08/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,drugs,Aki Kurose Students- Van Asselt Community,04/22/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,Drugs and alcohol,15,03/08/2010 08:00:00 AM +0000
Health,Alcohol and Drugs,Drugs are a problem,14,04/08/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,More addiction and harm-reduction programs,11,04/08/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,smoking and drug prevention,East African Community Group A,04/30/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,Teens/youth and drug use and addiction,El Centro de la Raza,04/01/2010 07:00:00 AM +0000
Health,Alcohol and Drugs,"Underage drinking, drugs and alcohol",12,03/15/2010 07:00:00 AM +0000
Health,Children,Autism is 1:100. Needs to be staff and programs trained and ready at every level with support. Need resources for all infant mental health conditions 0-3 years.,Early Childhood Education Instructors,03/12/2010 08:00:00 AM +0000
Health,Children,"Health Issues (childhood obesity, mental health)",6,03/08/2010 08:00:00 AM +0000
Health,Cultural Competency,Not enough culturally sensitive mental health services,4,03/22/2010 07:00:00 AM +0000
Health,Dental Care,Dental care/insurance/affordability/prevention care/ access,Public Health Advocates and Care Providers,05/04/2010 07:00:00 AM +0000
Health,Early Intervention,Need more early intervention for physical and mental health needs.,16,03/01/2010 08:00:00 AM +0000
Health,Equity,Inequities in education and lack of cultural competence in education and health,10,03/15/2010 07:00:00 AM +0000
Health,Family Planning,1.Lack of Planned parenthood funding,Young Democrats Group B,04/20/2010 07:00:00 AM +0000
Health,Health Education,Families and kids need to be healthy; Classes to learn how to take care of themselves physically and emotionally and access to actual healthcare. ,Web,
Health,Healthcare Generally,Families are not healthy.,Black Star Line,03/21/2010 07:00:00 AM +0000
Health,Healthcare Generally,Health Care,,02/22/2010 08:00:00 AM +0000
Health,Healthcare Generally,Health care,17,03/22/2010 07:00:00 AM +0000
Health,Healthcare Generally,Health Care,Penny Harvest -- Central Seattle,04/22/2010 07:00:00 AM +0000
Health,Healthy Communities,"Incorporating healthy families; healthy communities; physical, emotional and social health.",8,03/08/2010 08:00:00 AM +0000
Health,HIV/AIDS,HIV & AIDS prevention,Seattle LGBT Commission,05/04/2010 07:00:00 AM +0000
Health,Mental Health,"Counseling for post H.S. education, mental health access to counseling",16,03/15/2010 07:00:00 AM +0000
Health,Mental Health,Increase mental health resources,Public Health Advocates and Care Providers,05/04/2010 07:00:00 AM +0000
Health,Mental Health,Lack of mental health education and services,12,03/15/2010 07:00:00 AM +0000
Health,Mental Health,Lack of psychological/ mental health counseling for youth- direct access by youth (not having to get help with parental permission),15,03/15/2010 07:00:00 AM +0000
Health,Mental Health,Mental health issues – all are impacted.,16,03/01/2010 08:00:00 AM +0000
Health,Mental Health,"more help and services for new immigrants, especially culturally appropriate mental health service, depression and suicide help",Ethiopian Youth Media Group A,05/03/2010 07:00:00 AM +0000
Health,Mental Health,"more help and services for new immigrants, especially culturally appropriate mental health service, depression and suicide help",Ethiopian Youth Media group B,05/03/2010 07:00:00 AM +0000
Health,Mental Health,Not enough support for mental health,9,03/15/2010 07:00:00 AM +0000
Health,Mental Health,There is a lack of high quality mental & health care.,6,03/22/2010 07:00:00 AM +0000
Health,Nutrition,5. School Lunch ,Filipino community,04/11/2010 07:00:00 AM +0000
Health,Nutrition,Better quality and fresh foods(fruit) for school lunches,Vietnamese Friendship Association,04/13/2010 07:00:00 AM +0000
