ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
O17132,O17132,Small Sparks Fund,2017,UIATF Labateyah Youth Home Harvest Feast 2017,Over Educated Minority Artists - OEMA,"The Labateyah Harvest Feast scheduled for  Saturday, November 18th at 9010-13th Avenue NW, from 3:00-8:00 pm will be a time of art, music, dance, poetry, and food. This gathering of people young and old, is an ancient tradition of the Northwest Indigenous tribes. History is told and artwork is traded in an effort to create relationships. Music and dance are performed to inspire and uplift.","4,945","5,275",Citywide (One or more Districts),
O17130,O17130,Small Sparks Fund,2017,Pen to Pad: Why We Write,Pen to Pad Planning Committee,"The Pen to Pad Planning Committee will host a public event that promotes literacy and shares the experiences of local authors of color.  The event will be held on November 2, 2017 from 6:30 pm - 9:30 pm at the Northwest African American Museum located at 2300 S. Massachusetts St.  There will be music, food, and a facilitated creative writing activity.","1,400","2,148",District 3,
O17128,O17128,Small Sparks Fund,2017,Banned - The 1882 Chinese Exclusion Act and Other Denials of Liberties,Pre-conquest Indigenous Cultures and its Aftermath,"Pre-conquest Indigenous Cultures & its Aftermath (PICA) will organize a free conference to highlight historical and contemporary issues of injustice related to cultural and ethnic groups including Chinese Americans and Native Americans.  It will begin on November 10, 2017 at the Seattle Public Library located at 1000 4th Ave from 11:30 am - 2:30 pm.  It will continue on November 11, 2017 at the Bush Asia Center located at 409 Maynard Ave S from 11 am - 2 pm.  It will conclude on November 12, 2017 at El Centro de la Raza located at 2524 16th Ave S from 10:30 am - 12:30 pm.  There will be visual art, presentations, cultural performances, and food.","5,000","15,664",Citywide (One or more Districts),
O17127,O17127,Small Sparks Fund,2017,Pioneer Square Prism Glass Repair Guide,The Alliance for Pioneer Square,"The Alliance for Pioneer Square will develop a detailed how-to guide for the repair and replacement of our sidewalk prism glass; a defining asset in our National Historic District. 

Many sidewalks with prism panels exist today, but a majority need attention. This guide will provide a tool for property owners and managers to repair and replace prism glass in a manner that preserves this asset in the historic district. This project will start on November 17, 2017 and will be completed by January 31, 2018.","5,000","8,944",District 7,
O17126,O17126,Small Sparks Fund,2017,Pathway of Lights,Green Lake Advisory Council,"The Green Lake Advisory Council will enhance the Pathway of Lights event with a hot air balloon (night glow) show on the playfields at Green Lake. Hot air balloons will be set up at dusk and inflated as if they are going to take off, but instead of being allowed to ascend they will be tethered to the ground.  The balloons will glow like huge light bulbs or lanterns, giving a spectacular display for Pathway of Lights visitors. The event is on December 9th from 4:30pm to 9:30pm at the Greenlake Community Center, 7201 East Greenlake Drive North.","3,500","3,500",District 6,
O17124,O17124,Small Sparks Fund,2017,Taming Bigfoot in Seattle,Taming Bigfoot,"Taming Bigfoot in Seattle (TBS) is a team-based carbon footprint reduction competition designed to engage Seattle Community Members in supporting the City of Seattle's commitment to reduce greenhouse gas emissions. Participants will be chosen based on a first come, first served basis and then teams will be organized based on information provided in the registration form. The competition will kick off in January 2018 and be completed in April 2018 with an awards ceremony to follow.","5,000","5,500",Citywide (One or more Districts),
O17123,O17123,Small Sparks Fund,2017,Squire Park P-Patch Compost Program,Squire Park P-Patch,This project will be the start of a composting program at the Squire Park P-Patch.  October through December 2017 we will acquire tools and make upgrades to existing bins to support the composting process.  The goal is to provide compost to benefit the 31 garden plots and the common spaces at Squire Park P-Patch.,528,520,District 3,
O17122,O17122,Small Sparks Fund,2017,Bowdoin Place Utility Box Art,Bowdoin Place Condos,The Bowdoin Place community group will use artwork to beautify utility boxes located at Fremont Ave N and N. 39th St to enhance the visual appeal of the utility boxes that are a frequent target of graffiti and vandalism. A community celebration will be held in October 2017 to view the completed utility box artwork.,"4,530","3,105",District 7,
O17121,O17121,Small Sparks Fund,2017,Capitol Hill Halloween Festival,Capitol Hill Chamber of Commerce,"The Capitol Hill Chamber of Commerce's will be hosting the 8th annual Hilloween event on Saturday, October 28, 2017 from Noon to 3pm located at The Mitchell Activity Center at 1718 Broadway.  Hilloween is a celebration of the neighborhood, created for young families with children. It is free and open for everyone.","5,000","10,600",District 3,
O17120,O17120,Small Sparks Fund,2017,Script to Screen- Nepali Seattle,Tasveer,"Tasveer will be conducting a three day filmmaking workshop starting October 16 - 18 from 6pm to 10pm located at 1515 12th Ave.  The workshops will be conducted with the idea of presenting the South Asian perspective.  The participants will learn details, the how's, and whys of making documentaries.  No prior equipment experience is required. It will be open and free to all.","5,000","3,200",District 3,
O17119,O17119,Small Sparks Fund,2017,Sixth Annual Living Well Health Fair,Seattle Japanese American Citizens League,"On October 21, 2017 from 8am to 6pm the Seattle Japanese American Citizens League will be hosting the 6th Annual Living Well Health Fair, located at 3001 24th Ave S at the Blaine Memorial United Methodist Church.  The goal of the fair is to strengthen the Seattle API community by emphasizing good health by living well. There will be many interactive activities, and games for all to participate and to enjoy.","5,000","15,625",Citywide (One or more Districts),
O17117,O17117,Small Sparks Fund,2017,The H.O.P.E Concert,Walk Away City Collaborative,"The (High On Purpose Experience) H.O.P.E. concert featuring spoken word, poetic expression, music and dance performances by youth, will be held on Thursday, October 5th from 6:00-8:00 p.m. at The Rainier Arts Center, 3515 South Alaska Street.  All performing art forms will be focused on the theme of sobriety.  A team of youth interns will assist in the planning and outreach for the event.","5,000","5,700",District 2,
O17116,O17116,Small Sparks Fund,2017,Celebrating LGBTQ Senior Affordable Housing,Capitol Hill Housing Foundation,"The LGBTQ Senior Celebration will be held on September 21, 2017 from 5pm to 8pm at the Calamus Auditorium located at 517 E Pike St.  The goal of this celebration is to catalyze a conversation on affordable housing and healthcare for LGBTQ seniors on Capitol Hill.  There will be Queer art, food, and storytelling that will bring generations together to create a strong foundation for Capitol Hill Housing's plans to create a low-income LGBTQ senior affirming apartment building.","4,170","4,240",District 3,
O17115,O17115,Small Sparks Fund,2017,Rainier Court Festival,SHAG Community Life Foundation,"The SHAG Community Life Foundation and SouthEast Effective Development (SEED) will host The Rainier Court Festival on September 16, 2017, from 12 p.m. to 4 p.m. at 3642 33rd Ave S. This grass roots celebration will bring together the residents of the Dakota, Rainier Court and the Columbia Gardens along with neighbors from Mt Baker and Genesee to celebrate the rich diversity of the community. There will be food and drink along with many activities for all to enjoy.","5,000","4,090",District 2,
O17114,O17114,Small Sparks Fund,2017,PARKing Day - Inky Spokes Art Park,The Levee Breaking,"On September 15, 2017 from 9:00 a.m. to 7:00 p.m. at 704 Terry Ave., The Levee Breaking organization will be hosting a Park(ing) Day Art Park.  The park is intended as a place to make art, there will be a small printing press, easels drawing benches, a manual typewriter, and a variety of art and writing supplies. Art teachers will be present throughout the day to help and encourage community participants of all ages.","4,950","7,520",District 3,
O17113,O17113,Small Sparks Fund,2017,Parking Day - REMS Curb Bulbs,Greenwood-Phinney Greenways,"On September 15, 2017 from 7:00 a.m. to 5:00 p.m. the Greenwood-Phinney Greenways will host a PARK(ing) Day event to temporary Paint and Post curb-bulbs to clear the line-of-sight along N 90th St at Stone Ave N and at Ashworth Ave N for turning traffic and for children crossing.  There will be a demonstration protected bike lane which will allow a safer cross path for children attending the middle school, and living in the area.","4,000","2,680",District 5,
O17112,O17112,Small Sparks Fund,2017,PARKing Day on Denny Neighborhood Greenway,Central Seattle Greenways,"On September 15, from 9:00 a.m. to 7:00 p.m. the organization Central Seattle Greenways will be using the two parking spaces on the southeast corner of Denny Way and Nagle Place across from the Capitol Hill Link Light Rail Station to create a temporary park on the future Denny Neighborhood Greenway to showcase the future Greenway as a neighborhood asset and connection between the Light Rail station and Capitol Hill destinations.",675,980,District 3,
O17111,O17111,Small Sparks Fund,2017,ROOTS 45th Annual Celebration,ROOTS Celebration Committee,"The 45th Annual ROOTS Celebration will be held September 3, 2017 10:00a.m.- 6:00p.m. at 2400 S Massachusetts Street. This event will celebrate the history and culture of African Americans who contributed to the vitality of Seattle. The community will enjoy different intergenerational  games, activities, music, dance, and food.","4,300","3,800",District 3,
O17110,O17110,Small Sparks Fund,2017,Georgetown no-gasoline themed mural,Coltura,"On November 5th, 2017, community group, Coltura, will create a Georgetown No-Gas Mural. The mural will be installed at 969 S. Nebraska St.  The public will be invited to Georgetown Art Attack Day to dedicate and celebrate the unveiling of the mural on November 11th.

The goal of the Georgetown No-Gas Mural is to invite viewers to think about the use of gasoline in all the ways it touches them - the effect on their community and society, and to transform their thoughts to action. This mural is an effort to address community concerns regarding environmental justice through art.","5,000","7,440",District 2,
O17108,O17108,Small Sparks Fund,2017,Vietnamese Seniors and Family Bonding Day,Vietnamese Senior Association,"In an effort to share their traditional culture  and build understanding and respect between  Vietnamese seniors and their children, a Family Bonding Day will be held on Saturday, September 30th from 11:00 - 4:00 pm at Garfield Community Center, 2323 E Cherry Street.  The event will include family story-telling, live music and karaoke, cultural dance, and foods. Two facilitated discussions are planned for October and November.","5,000","5,200",District 2,
O17107,O17107,Small Sparks Fund,2017,Rainier Beach Community Club Site Improvements,Rainier Beach Community Club,"The Rainier Beach Community Club will have a series of work parties starting on September 8th through October 7th that will take place at 6038 S Pilgrim St. The aim of the project is to do site improvements to the almost 100 year old building that serves as a neighborhood hub to the Rainier Beach community. There will be interior and exterior painting along with some landscaping of the grounds. The site improvements will provide a welcoming well-kept facility, which the Rainier Beach community will hopefully use for another 100 years.","5,000","7,500",District 2,
O17105,O17105,Small Sparks Fund,2017,View Ridge Neighborhood Community Building Event,View Ridge Community Council,"On Sunday, September 10, 2017, from 2 p.m. to 5 p.m. the View Ridge Community Council will be hosting The View Ridge Party in the Park located at NE 70th St and 45th Ave NE. The goal of this event is to bring neighbors together and promote a sense of community. There will be activities for young and old, music, and food and drink for all to enjoy. This event is free and open to the public.","2,850","3,400",District 4,
O17104,O17104,Small Sparks Fund,2017,Dozer's Warehouse,Dozer Art,"Dozer Art will organize a temporary art exhibit at 2507 Beacon Ave S featuring local muralists and painters.  An opening event for the exhibit will be held on September 8, 2017 from 5 pm - 10 pm.  The free all ages event will feature performance art, music, and food.","4,200","3,200",District 2,
O17103,O17103,Small Sparks Fund,2017,Hillman City Neighborhood Association Outreach,Hillman City Neighborhood Association,"The Hillman City Neighborhood Association, an outgrowth of Vision Hillman City, will host its first meeting on Tuesday, October 24, 2017, 7-9pm, at the Rainier Avenue Church (5900 Rainier Ave. S.). The Association will publicize the meeting through a neighborhood-wide mailing, posters, flyers, and other existing community meetings and events. They will also do personal outreach to businesses and community group leaders, including developing relationships with leaders from the neighborhood's immigrant communities. The goal is to find pathways to effective communication with all segments of the neighborhood.","1,800","1,300",District 2,
O17102,O17102,Small Sparks Fund,2017,SLU / Denny Park Community Building Summer Events,Compass Housing Alliance,"On September 2,2017, Compass Housing Alliance will sponsor a Back to School Carnival at Denny Park, 100 Dexter Avenue North from 10:00 a.m.-2:00 p.m.  The goal of the event is to promote education, increase community engagement, and encourage park use in South Lake Union by creating a stronger sense of community.","5,000","3,400",District 7,
O17100,O17100,Small Sparks Fund,2017,Viva Lucha Libre,ECOSS (Environmental Coalition of South Seattle),"On August 26, 2017 starting at 6pm at 7900 10 Ave S the Environmental Coalition of South Seattle will host the cultural component to the River Festival with a exhibition called Viva Lucha Libre an event that brings awareness to Mexican culture through a masked Mexican wrestling exhibition. The exhibition will be a family-friendly cultural celebration in the South Park Neighborhood that showcases the vibrant diversity of South Park residents and businesses. There will be food and drinks and various activities for all to enjoy.","5,000","6,685",District 1,
O17099,O17099,Small Sparks Fund,2017,Ethnic Heritage Council Potluck Picnic,Ethnic Heritage Council,"The Ethnic Heritage Council will host a community potluck picnic on Sunday, August 13, 2017, 2pm to 5pm, at the Daybreak Star Indian Cultural Center. Free and open to all, the picnic will feature ethnic music, song, and dance. The picnic will bring people face to face to build relationships across ethnic groups and learn each other's concerns, practices, and celebrations. The Council is also using the event as a tool to help create an electronic directory of area ethnic groups for schools, community, and businesses. They are expecting around 100 attendees.","2,000","6,320",Citywide (One or more Districts),
O17098,O17098,Small Sparks Fund,2017,Seeds to Roots - Growing Neighborhood Connections,12th Ave SW Block Watch Group,"The residents of the 7700 block of 12th Ave SW have planned several community events. Neighbors will design and install a garden in the new roundabout at 12th Ave SW and SW Kenyon St.  Planting of the circle will occur in September, with a street clean up and community celebration recognizing the improvements planned for the month of October.   These activities  will strengthen the connections between the longtime neighbors and newer residents by working side by implementing their shared vision for community improvements.","3,000","3,750",District 1,
O17097,O17097,Small Sparks Fund,2017,Neighborhood Chalk Art Project with Workshop,Call of Compassion NW,"Call of Compassion NW will teach up to 20 youth-led teams of five people how to create temporary art pieces using chalk. The workshop will be on Saturday, August 26, 9am-12pm, at Blaine Memorial United Methodist Church in the parking lot (3001 24th Ave S). The day of art creation will happen on neighborhood business district sidewalks by September 15. A community celebration for the teams will be held in October.","5,000","6,720",Citywide (One or more Districts),
O17095,O17095,Small Sparks Fund,2017,Sand Point Aviation History Celebration,Friends of NAS Seattle Historic District,"On Sunday October 15, 2017 from Noon to 4pm at Hanger 30 located at 7400 Sand Point Way NE the Friends of NAS Seattle Historic District will host the Sand Point Aviation History Celebration. The celebration will raise awareness of Seattle's newest historic district, the Sand Point Magnuson Park Historic District.  The event will highlight stories told by pilots and historians about the aircraft and model aircraft of the many aircraft that flew from Sand Point NAS.  There will be music, food and many activities for young and old.","5,000","6,700",Citywide (One or more Districts),
O17094,O17094,Small Sparks Fund,2017,Mercer x Summit Block Party,Mercer x Summit Block Party,"The Mercer x Summit (MxS) Block Party is a free community event with the goal of bringing the local businesses together with live music and art to give back to the community that keeps us thriving. We will be having a 16x20 foot stage with designated beer garden, outdoor food vendors, and merchant areas. MxS will start at 2pm on August 19th on Summit Avenue between East Mercer Street and East Roy Street with live music ending at 10pm and outdoor vendors done by 11pm.","5,000","4,350",District 3,
O17091,O17091,Small Sparks Fund,2017,Hillman City Classic Car Show,Hillman City Business Association,"On August 12th 2017, from 9am to 5pm located on Rainier Ave from Orcas St to Lucille St. The Hillman City Business Association will host the 2nd Annual Hillman City Classic Car Show. This event in conjunction with the Rainier Heritage Festival and Parade will provide family friendly events that will be free and open to the public in Hillman City and Columbia City neighborhoods.","5,000","5,450",District 2,
O17090,O17090,Small Sparks Fund,2017,One Night People's Park,Seattle Green Spaces Coalition,"Seattle Green Spaces Coalition will organize a free community event to share information about small public open spaces and ways that volunteers can become more involved with them.  The event will feature environmental activities, space design information, food, and music.  It will be held on August 23, 2017 from 6 pm - 8 pm on 28th Ave NW between NW 77th St and NW 80th.",800,"1,000",District 6,
O17089,O17089,Small Sparks Fund,2017,The Beauty of Africa,Central District Youth with Purpose,"Central District Youth with Purpose will host a free event to raise awareness on how community members can engage with issues of gender inequity, poverty, and education in West Africa.  The event will feature a fashion show as well as speakers and displays highlighting contemporary issues of the region.  It will be held on August 22, 2017 from 6:30 pm - 8:30 pm at the Columbia Tower Club located at 701 5th Ave, 76th floor.  The event will be broadly promoted as being free and open to the public.","5,000","6,324",Citywide (One or more Districts),
O17088,O17088,Small Sparks Fund,2017,Little Brook Youth Corps,Lake City Neighborhood Alliance,"In partnership with the Thornton Creek Alliance, Lake City Future First, and the Seattle Parks Foundation, the Lake City Neighborhood Alliance will create a Little Brook Youth Corps by doing a project to restore the creek in Little Brook Park. Youth will learn and apply habitat restoration techniques and leadership skills in a series of work parties and workshops from August through October; they will earn stipends for their work. A community worksite tour and open house in October will celebrate the youth's accomplishments. Work will be coordinated with Seattle Parks and Recreation.","5,000","17,920",District 5,
O17086,O17086,Small Sparks Fund,2017,Night Out - Celebration in New Holly,Community Kitchen: New Holly,"On August 1, between 5pm and 8pm, in the Shaffer Park on S Holly St between 30th Ave S. and Shaffer Ave S. the Community Kitchen at New Holly will host a Night Out event. The purpose is to bring neighbors together for a fun time with food, drink, and children's activities. Crime prevention information will be shared. 60-120 attendees are expected.","2,480","1,040",District 2,
O17084,O17084,Small Sparks Fund,2017,Night Out - Community Gathering at Dayton Ave,Friends of Dayton Ave,"On August 1, 2017 between 6-10pm, on Dayton Avenue N, between N 87th Street and N 90th Street, the group Friends of Dayton Ave. will host a Night Out event. The purpose is to connect neighbors with one another, to enjoy community activities, live music, food, and games for the children. Discussions about safety will occur.","1,100","1,940",District 5,
O17083,O17083,Small Sparks Fund,2017,Night Out - at Alton neighborhood of Meadowbrook,Meadowbrook Night Out NE 107th Street and Alton,"On August 1, 2017, between 6 to 10pm, at 10552 Alton Ave NE between NE 105th St. and NE 107th St. The Meadowbrook Emergency Hub/Alton neighborhood group and Meadowbrook Community Council will be hosting a Night Out event. The aim of the event is to bring the neighbors together for a night of fun and community building. Emergency preparedness and community safety will be discussed.","1,900","4,450",District 5,
O17082,O17082,Small Sparks Fund,2017,Night Out - Event at King Street under I5,API Food Fight Club,"On August, 1. from 6-10pm on King Street under I-5 in the International District, the API Food Fight Club will host a National Night Out. The purpose of this event is to activate an underutilized area that has typically been passive place, bridging the gap between Chinatown/Japantown and Little Saigon. There will be music, dancing, chalk art, food, games, and informational booths about local businesses and events. All are welcome to participate.","1,100","1,000",District 2,
O17081,O17081,Small Sparks Fund,2017,Night Out - for North 83rd Neighbors,83rd St Neighbors,"On August 1st 2017, the 83rd St Neighbors located at 517 N 83rd St will host a Night Out. The aim of this event is to bring together all the neighbors and talk about the Block watch and crime prevention. There will be food and drinks and various activities for all to enjoy.","2,090","1,380",District 6,
O17080,O17080,Small Sparks Fund,2017,Night Out-Block Party at Capitol Hill Tool Library,Sustainable Capitol Hill,"On August 1, 2017 between 6 to 11pm at the Capitol Hill Tool Library on 1552 Crawford Place;  Sustainable Capitol Hill will host a free National Night Out block party. The main goal is to strengthened community and promote neighborhood unity. There will be community activities, live music, games, food and beverage. 40 to 50 people  are expected to attend.",700,840,District 3,
O17079,O17079,Small Sparks Fund,2017,Night Out - Celebration at Rainier Vista,Rainier Vista Community Building Committee,"On August 1st, The Rainier Vista Community Building Committee will host a Night Out event at the Central Park (between S. 28th/29th and S. Genesee/Nevada) in Rainier Vista. The aim is to bring neighbors together to discuss crime prevention. There will be food, and drinks, and children's activities. 500 attendees are expected.","4,100","3,320",District 2,
O17078,O17078,Small Sparks Fund,2017,Night Out - Block Party at NE 97th St,Friends of NE 97th St,"On August 1, 2017, between 32nd Ave N & 35th Ave N on NE 97th Street from 5 to 8pm, friends of the NE 97th St. will host a Night Out block party. The goals are to promote community engagement, discuss neighborhood security & emergency preparedness. Food, games, music, and activities for the children will be offered.","1,820",985,District 5,
O17077,O17077,Small Sparks Fund,2017,Night Out - 35th and S Edmunds,Neighbors of 35th & Edmunds,"The Neighbors of 35th & Edmunds will host a Night Out event on August 1, 2017 from 6 pm - 10 pm.  It will take place on 35th Ave S between S Edmunds St and S Alaska St.  The event will feature live music, food, bicycle safety activities, and a photo booth to bring neighbors together in this rapidly-growing neighborhood.","1,650","1,730",District 2,
O17076,O17076,Small Sparks Fund,2017,Night Out - N 92nd Block Party,N 92nd St Blockwatch,"The N. 92nd Street Blockwatch will organize a block watch party on National Night Out - Tuesday, August 1, 2017, 6:00-9:00pm. The purpose is to engage new and existing neighbors in conversation about block issues related to safety, community-building, and general neighborhood improvements. The event will enhance the sense of community and belonging on the block for both renters and homeowners.","1,100","1,000",District 5,
O17075,O17075,Small Sparks Fund,2017,Night Out - Celebration North Queen Anne Tribe,North Queen Anne Tribe,"On August, 1 2017 from 6 to 10pm, between West Smith St. between 1st and 2nd Ave West, North Queen Anne Tribe will be hosting a Police Night Out event. The goal of the event is to bring the neighbors together to talk about emergency preparedness and community safety. There will be music, food, entertainment, and activities for children.",600,895,District 7,
O17074,O17074,Small Sparks Fund,2017,Night Out - Dravus to Bertona,Dravus to Bertona,"On August 1st, 2017 from 5-8pm, located at 3213 22nd Ave W the Dravus to Bertona community group will host a Night Out event. The purpose of the event is to  bring neighbors together for a night of fun and community building. Neighborhood safety issues will be discussed.","1,295","1,400",District 7,
O17073,O17073,Small Sparks Fund,2017,Night Out - NE 133rd Street Blockwatch 2017 Event,NE 133rd St Blockwatch,"On  August 1st, between 6-10pm the NE 133rd St. Blockwatch will host a Night Out event, that will take place on the corner of 2602 NE 133rd Street. This event aims to increase community involvement with the community blockwatch. There will be live music, food, and drinks, and activities for children.",300,440,District 5,
O17072,O17072,Small Sparks Fund,2017,Night Out- Community Inclusion at N Fremont St,Evanston P-Patch Neighborhood Watch Group,"On August 1st 2017 from 6pm to 10pm, on Fremont Avenue between 101st & 102nd streets the Evanston P-Patch Neighborhood Watch Group will host a Night Out. This years Night Out will focus on sustainable practices, bringing together the community to educate ourselves on how to protect the environment. There will be entertainment, food and drinks, and activities for all to enjoy.","2,600","4,000",District 5,
O17070,O17070,Small Sparks Fund,2017,Night Out - Licton Springs Neighbors,Densmore Block Watch,"The Densmore Block Watch will organize a Night Out event for the 9500 block of Densmore Ave. N in the Licton Springs neighborhood on Tuesday, August 1, 6-9pm. The purpose is to bring neighbors together for a fun time with food, drink, and children's activities. Crime prevention information will be shared. About 50 attendees are expected.",500,385,District 5,
O17068,O17068,Small Sparks Fund,2017,West Seattle Festivals: Kids Arts and Music Area,West Seattle Junction Association,"The West Seattle Junction Association (WSJA) will create a fully-interactive kids arts and music instrument-making area at two West Seattle festivals this year. The area for both festivals will be at Junction Plaza Park: Summer Fest (July 14-16: noon-5pm) and Harvest Festival (October 28: noon-4pm). WSJA's partners in the project will be the School of Rock, Arts Nest, and the West Seattle YMCA. The activities will be especially geared for kids from underserved families and kids on the autism spectrum. Tailored outreach will be done along with general outreach to West Seattle communities.","5,000","4,350",District 1,
O17067,O17067,Small Sparks Fund,2017,Lake City Pioneer Days Seafair Parade,Lake City Pioneer Days Parade Association,"The Lake City Pioneer Days Parade is an annual Seafair event that brings together 10,000 neighbors to celebrate all the local flavor that makes Lake City and Seattle unique. The Grand Parade starts at 7pm on Saturday August 5, 2017 on Lake City Way NE between NE 135th and NE 123rd.  The Kid's Parade starts at 6pm on the same day.","5,000","3,300",District 5,
O17066,O17066,Small Sparks Fund,2017,Rainier Vista Community Basketball Tournament,Horn Of Africa Services,"Horn of Africa Services and Rainier Vista youth will organize a youth basketball tournament on Saturday, September 23, 3-7 p.m., at the Rainier Vista Boys and Girls Club gymnasium (4520 Martin Luther King Jr Way S. Teams of youth, aged 10 and older, will participate. Free and open to all, the tournament will help build community in Rainier Vista.","4,000","2,530",District 2,
O17064,O17064,Small Sparks Fund,2017,Othello Park Pictures,HomeSight,"To improve perceptions of safety and bring evening activities, of which there are currently very few, On Board Othello in partnership with Othello Park Alliance will be hosting an outdoor cinema series in Othello Park 4351 S. Othello St. 

The steering committee, consisting of neighbors and business owners, will host a community vote to choose three films to be screened July 21st, July 28th and August 4th between 8:00 and 10:00 p.m. Movies will be free and open to the public. We will partner with the adjacent Othello business district to  pre-package picnic dinners that movie goers may purchase if they choose.","5,000","7,000",District 2,
O17063,O17063,Small Sparks Fund,2017,Invisible Womxn,Velocity Dance Center,"Velocity Dance Center will organize Invisible Womxn, a performance festival, on Sunday, July 16, 2017, 3:00-6:00pm, at Cal Anderson Park. Dancers will be featured in a movement score, and local womxn community leaders and poets will stand on soapboxes and speak about the history and missions of their organizations to a soundscore created by the Filthy Femme Corps marching band and the Beaconettes choir. Organizers hope for up to 1,000 attendees at this free public event.","5,000","6,875",District 7,
O17062,O17062,Small Sparks Fund,2017,Night Out - West McGraw Street,West McGraw Street Planning Committee,"The West McGraw Street Planning Committee will organize a National Night Out event on August 1, 2017 from 5pm - 10pm on 1st Ave W between W McGraw Street and W McGraw Place.  It will feature food, entertainment, and the opportunity for community members to engage in a fun and positive way.","2,675","2,600",District 7,
O17061,O17061,Small Sparks Fund,2017,2nd Annual ALL 4 1 ARTpalooza,DASSdance,"The 2nd Annual ARTpalooza will be a free public event for all ages at the MLK Memorial Park at 2200 Martin Luther King Jr. Way S.  With over 25 acts including dancers, drummers, and poets, ARTpalooza be on July 15, 2017 from 11am to 6pm.  Local visual artists will also participate, creating live art on an Art Cube.  There will also be an opportunity for kids to explore their own creativity at a water color table.  Food trucks will be on hand representing local restaurants.","5,000","6,700",District 3,
O17060,O17060,Small Sparks Fund,2017,Night Out Block Party: 500 Block of North 70th,500 Block of North 70th,"A Night Out Block Party will be held on Tuesday, August 1 6:00-8:00pm at the 500 Block of N 70th Street. The event will include music, a food truck, beautification of our traffic circle and emergency preparedness training. Our hope is to increase the participation of our neighbors.","2,600","1,300",District 6,
O17059,O17059,Small Sparks Fund,2017,Harvest Expansion to Queen Anne & Magnolia,City Fruit,"City Fruit will expand our 2017 harvest to include the Queen Anne and Magnolia neighborhoods. We have identified an unmet need in these areas, and believe our services will be valuable in preserving urban fruit trees, saving fruit from going to waste, and supporting local food banks and meal programs. City Fruit will help residential tree owners grow healthy fruit, harvest, and share what they do not need. Surplus fruit will be donated to the Queen Anne Food Bank, the Ballard Food Bank, and Tent City 5 at Interbay. Expanding our harvest reach to Queen Anne and Magnolia will significantly boost the impact of our work, and help us build community.","5,000","2,700",District 7,
O17058,O17058,Small Sparks Fund,2017,Traffic Circle Renovation: 15th Ave S/S Pearl St,Georgetown Heights Community Group,"The Georgetown Heights Community Group, a coalition of several block watch groups, will landscape the traffic triangle at 15th Ave S and S Pearl St. Neighbors will come together to clean, remove weeds, plant new plants, and maintain the triangle. A planting party and celebration will be held in November (date/time to be determined). The group sees this project as the first in a series of community-building projects in this increasingly diverse neighborhood.","1,000","2,550",District 2,
O17057,O17057,Small Sparks Fund,2017,Night Out - Letitia Ave S Block Party,Letitia Ave S Block Party,"On August 1, 2017 from 6pm to 10pm at 4084 Letitia Ave S will have a National Night Out community event. There has been a increase in crime in the community and families are uniting to discuss crime prevention activities. The Night Out will also provide the opportunity to encourage collaboration, information sharing and plan for a future block watch. There will be food and drinks and various fun activities.","1,000",700,District 2,
O17056,O17056,Small Sparks Fund,2017,Black/Brown Solidarity Party,Arts Corps: Youth Speaks Seattle,"The 2017 Black/Brown Solidarity Party will connect young artists of color with their neighbors for an evening of poetry, art, music, and food. Held at Youngstown Cultural Arts Center 4408 Delridge Way SW on Friday July 7th, this event will serve as the culmination of the 2017 Arts Liberation & Leadership Institute (ALLI) facilitated by Arts Corps. Through ALLI, 25 youth from West & South Seattle (primarily youth of color and queer youth) are developed as artists and community leaders via their participation in one of three arts pathways: spoken word poetry, music, or visual art. The Black/Brown Solidarity Party will provide community performances showcasing the art created during ALLI, providing community members with the opportunity to experience the creativity, power, and passion of local youth artists. The event will kick off with a community potluck and open mic, followed by musical and poetry performances, and visual art created by the youth artists will be on display.","5,000","6,059",District 1,
O17055,O17055,Small Sparks Fund,2017,Neighborhood Eid Party,Neighbors for unity and diversity,On June 30th from 6pm to 10pm the Neighbors for Unity and Diversity with have a celebration at Central Park located at 4410 29th Ave S Rainer Vista to mark Eid-al-Fitr Islamic Festival.  The aim of the event is to bring together the diverse community of Rainer Vista to share the joy and meaning of Eid-al-Fitr. There will be food and an art exhibit that will showcase the meaning of Ramadan and Eid along with other family friendly activities.,"5,000","2,660",District 2,
O17054,O17054,Small Sparks Fund,2017,Festi-Bowl at Ballard Commons Park,Ballard Thrashers Skateboard Club,"Festi-Bowl is an all-ages and all-abilities skateboarding event at the Ballard Commons Park located at 5701 22nd Ave NW. It will attract youth ages 5 and up for a variety of skateboarding activities including instruction, skills showcase, timed slalom race, and bowl competitions. The event will coincide with Ballard Seafood Fest on July 8th from 12 p.m. to 8:00 p.m. competitions.","1,500","4,535",District 6,
O17052,O17052,Small Sparks Fund,2017,Pop-Up Bazaar on Beacon Hill,Beacon Hill Pop-Up Committee,"The Beacon Hill Pop-Up Committee will host a free community festival that combines arts activities, skill-sharing demonstrations, music, and a flea market to bring people together in the spirit of community resistance to societal polarization.  It will be held on June 24, 2017 from 11am - 3pm at 2507 Beacon Ave S.  The event will be free and open to the public.","3,050","2,480",District 2,
