Department,Jobtitle,Female Avg Hrly Rate,No. Female Empl,Male Avg Hrly Rate,No. Male Empl,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
Department of Planning & Dev,Code Compliance Anlyst,37.7,2,,,37.7,2,39.5,,No men in title
Department of Planning & Dev,Code Compliance Coord,43.1,1,,,43.1,1,67,,No men in title
Department of Planning & Dev,"Code Dev Anlyst,Sr",40.74,1,,,40.74,1,31,,No men in title
Department of Planning & Dev,Elecl Inspector Supv,,,45.58,2,45.58,2,20,,No women in title
Department of Planning & Dev,"Elecl Inspector,(J)",38.37,1,38.37,2,38.37,3,9.33,100,
Department of Planning & Dev,"Elecl Inspector,Sr(Expert)",43.06,2,43.06,13,43.06,15,107.73,100,
Department of Planning & Dev,Elecl Plans Examiner,,,40.42,3,40.42,3,48,,No women in title
Department of Planning & Dev,Elevator Inspector(J),,,37.73,3,37.73,3,29,,No women in title
Department of Planning & Dev,"Elevator Inspector,Chief",,,43.92,2,43.92,2,27,,No women in title
Department of Planning & Dev,"Elevator Inspector,Sr(Expert)",40.74,1,40.74,6,40.74,7,50.29,100,
Department of Planning & Dev,"Envrnmtl Anlyst,Sr",,,43.1,1,43.1,1,58,,No women in title
Department of Planning & Dev,Executive2,61.27,1,63.29,2,62.62,3,93.33,96.8,
Department of Planning & Dev,Executive3,68.5,2,67.95,2,68.23,4,84,100.81,
Department of Planning & Dev,Housing Ordinance Spec,31.16,1,,,31.16,1,61,,No men in title
Department of Planning & Dev,Housing Ordinance Supv,,,36.3,1,36.3,1,141,,No women in title
Department of Planning & Dev,Housing/Zoning Inspector,34.32,5,33.68,4,34.04,9,80.56,101.9,
Department of Planning & Dev,Housing/Zoning Inspector Supv,,,39.96,1,39.96,1,113,,No women in title
Department of Planning & Dev,"Housing/Zoning Inspector,Sr",36.3,1,36.3,1,36.3,2,45.5,100,
Department of Planning & Dev,Housing/Zoning Tech,26.26,2,,,26.26,2,50.5,,No men in title
Department of Planning & Dev,"Housing/Zoning Tech,Sr",,,28.84,1,28.84,1,86,,No women in title
Department of Planning & Dev,"Info Technol Prof A,Exempt",54.62,3,51.14,3,52.88,6,88.5,106.81,
Department of Planning & Dev,Info Technol Prof B,45.34,7,46.27,9,45.86,16,67.06,97.99,
Department of Planning & Dev,Info Technol Prof C,40.9,1,,,40.9,1,78,,No men in title
Department of Planning & Dev,Inspection Support Anlyst,35,2,,,35,2,63.5,,No men in title
Department of Planning & Dev,Land Use Plnr I,35.63,3,,,35.63,3,0,,No men in title
Department of Planning & Dev,Land Use Plnr II,39.2,4,37.82,4,38.51,8,121,103.64,
Department of Planning & Dev,Land Use Plnr III,41.16,7,41.97,11,41.66,18,67.33,98.07,
Department of Planning & Dev,Land Use Plnr IV,44.74,8,44.74,4,44.74,12,74.83,100,
Department of Planning & Dev,"Manager2,Engrng&Plans Rev",51.9,1,49.82,7,50.08,8,56.13,104.17,
Department of Planning & Dev,"Manager2,Exempt",50.55,1,,,50.55,1,100,,No men in title
Department of Planning & Dev,"Manager2,General Govt",,,45.98,1,45.98,1,1,,No women in title
Department of Planning & Dev,"Manager3,Engrng&Plans Rev",52.84,3,55.35,4,54.27,7,134.29,95.47,
Department of Planning & Dev,"Manager3,Fin,Bud,&Actg",,,60.51,1,60.51,1,66,,No women in title
Department of Planning & Dev,"Manager3,Info Technol",57.84,1,,,57.84,1,58,,No men in title
Department of Planning & Dev,Mech Inspector Supv,,,43.91,1,43.91,1,124,,No women in title
Department of Planning & Dev,Mech Inspector(J),,,38.81,3,38.81,3,80.67,,No women in title
Department of Planning & Dev,Mech Plans Engr,,,41.55,1,41.55,1,6,,No women in title
Department of Planning & Dev,Mech Plans Engr Supv,,,53.39,1,53.39,1,7,,No women in title
Department of Planning & Dev,"Mech Plans Engr,Sr",50.07,1,44.8,1,47.44,2,25,111.76,
Department of Planning & Dev,"Mgmt Systs Anlyst,Sr",43.1,1,43.1,1,43.1,2,190,100,
Department of Planning & Dev,Noise Contrl Prgm Spec,,,39.96,2,39.96,2,145.5,,No women in title
Department of Planning & Dev,Permit Process Leader,42.6,3,44.74,3,43.67,6,67.5,95.22,
Department of Planning & Dev,Permit Spec I,31.61,12,31.59,3,31.6,15,46.27,,
Department of Planning & Dev,Permit Spec II,31.84,4,31.97,5,31.91,9,16.22,99.59,
Department of Planning & Dev,Permit Spec Supv,,,37.7,1,37.7,1,84,,No women in title
Department of Planning & Dev,Permit Tech,26.99,6,28.35,2,27.33,8,50.75,95.2,
Department of Planning & Dev,Permit Tech Supv,33.69,1,,,33.69,1,33,,No men in title
Department of Planning & Dev,Personnel Spec,33.69,1,,,33.69,1,60,,No men in title
Department of Planning & Dev,"Personnel Spec,Sr",36.3,1,,,36.3,1,52,,No men in title
Department of Planning & Dev,"Plng&Dev Spec,Sr",40.97,8,41.99,7,41.45,15,40.07,97.58,
Department of Planning & Dev,Pressure Systs Inspector(J),,,38.14,4,38.14,4,99.5,,No women in title
Department of Planning & Dev,"Pressure Systs Inspector,Chief",,,44.74,1,44.74,1,138,,No women in title
Department of Planning & Dev,Publc Relations Spec,29.64,3,,,29.64,3,24.67,,No men in title
Department of Planning & Dev,"Publc Relations Spec,Sr",36.3,1,,,36.3,1,66,,No men in title
Department of Planning & Dev,Sign Inspector(J),,,39.2,1,39.2,1,7,,No women in title
Department of Planning & Dev,Site Dev Insp,40.74,2,39.63,4,40,6,76.5,102.8,
Department of Planning & Dev,"StratAdvsr1,Engrng&Plans Rev",,,46.35,2,46.35,2,59,,No women in title
Department of Planning & Dev,"StratAdvsr2,Engrng&Plans Rev",50.85,2,51.21,4,51.09,6,65.33,99.3,
Department of Planning & Dev,"StratAdvsr2,Fin,Bud,&Actg",47.03,1,,,47.03,1,29,,No men in title
Department of Planning & Dev,"StratAdvsr2,General Govt",50.97,2,49.13,4,49.74,6,33,103.75,
Department of Planning & Dev,"StratAdvsr3,Engrng&Plans Rev",,,48.14,1,48.14,1,100,,No women in title
Department of Planning & Dev,Strucl Plans Engr,45.69,1,45.69,5,45.69,6,137,100,
Department of Planning & Dev,Strucl Plans Engr Supv,53.39,1,53.39,1,53.39,2,81.5,100,
Department of Planning & Dev,"Strucl Plans Engr,Sr",47.44,2,50.07,2,48.75,4,49.75,94.74,
Department of Planning & Dev,"Transp Plnr,Sr",,,44.74,1,44.74,1,160,,No women in title
Dept of Finance & Admn Svc,Accountant,30.92,5,,,30.92,5,103.4,,No men in title
Dept of Finance & Admn Svc,"Accountant,Prin",38.73,7,36.99,1,38.51,8,56.5,104.7,
Dept of Finance & Admn Svc,"Accountant,Sr",33.82,5,35.57,1,34.11,6,45.67,95.08,
Dept of Finance & Admn Svc,Actg Tech I-BU,22.56,2,,,22.56,2,92.5,,No men in title
Dept of Finance & Admn Svc,Actg Tech II,24.35,3,24.35,1,24.35,4,158,100,
Dept of Finance & Admn Svc,Actg Tech II-BU,24.35,5,24.35,1,24.35,6,172,100,
Dept of Finance & Admn Svc,Actg Tech III,26.79,2,,,26.79,2,87.5,,No men in title
Dept of Finance & Admn Svc,Actg Tech III-BU,26.79,1,,,26.79,1,144,,No men in title
Dept of Finance & Admn Svc,Admin Spec I,22.56,2,,,22.56,2,173,,No men in title
Dept of Finance & Admn Svc,Admin Spec I-BU,21.79,3,22.56,1,21.99,4,67.75,96.6,
Dept of Finance & Admn Svc,Admin Spec II,24.35,4,,,24.35,4,164,,No men in title
Dept of Finance & Admn Svc,Admin Spec II-BU,24.03,14,24.35,2,24.07,16,68.69,98.67,
Dept of Finance & Admn Svc,Admin Spec III-BU,26.26,2,,,26.26,2,31,,No men in title
Dept of Finance & Admn Svc,Admin Staff Anlyst,35.43,3,36.3,1,35.65,4,92.5,97.6,
Dept of Finance & Admn Svc,Admin Staff Asst,31.76,3,,,31.76,3,84.33,,No men in title
Dept of Finance & Admn Svc,Admin Support Asst-BU,20.61,1,,,20.61,1,136,,No men in title
Dept of Finance & Admn Svc,Animal Contrl Ofcr I,24.32,1,24.08,4,24.13,5,55.4,101.01,
Dept of Finance & Admn Svc,Animal Contrl Ofcr II,26.53,3,26.53,6,26.53,9,137.67,100,
Dept of Finance & Admn Svc,Animal Contrl Ofcr Supv,30.72,2,,,30.72,2,54,,No men in title
Dept of Finance & Admn Svc,"Appraiser,Sr",,,43.91,1,43.91,1,54,,No women in title
Dept of Finance & Admn Svc,Auto Body Wkr/Pntr,,,29.79,2,29.79,2,123,,No women in title
Dept of Finance & Admn Svc,"Auto Engr,Sr",,,40.74,2,40.74,2,42.5,,No women in title
Dept of Finance & Admn Svc,Auto Equip Pntr,,,29.79,1,29.79,1,183,,No women in title
Dept of Finance & Admn Svc,Auto Maint CC,,,36.28,4,36.28,4,63,,No women in title
Dept of Finance & Admn Svc,Auto Mechanic,31.02,1,31.02,48,31.02,49,108.78,100,
Dept of Finance & Admn Svc,Auto Mechanic Aprn,27.27,1,27.27,2,27.27,3,45.33,100,
Dept of Finance & Admn Svc,"Auto Mechanic,Sr",32.6,1,32.6,12,32.6,13,87.62,100,
Dept of Finance & Admn Svc,Auto Sheet Metal Wkr,,,29.79,2,29.79,2,181,,No women in title
Dept of Finance & Admn Svc,Bldg Operating Engr,,,31.16,3,31.16,3,138.33,,No women in title
Dept of Finance & Admn Svc,"Buyer,Sr",39.96,3,38.86,4,39.33,7,63.71,102.82,
Dept of Finance & Admn Svc,Capital Prjts Coord,41.56,1,41.56,1,41.56,2,101,100,
Dept of Finance & Admn Svc,Capital Prjts Coord Supv,42.51,1,,,42.51,1,0,,No men in title
Dept of Finance & Admn Svc,"Capital Prjts Coord,Asst",38.5,1,,,38.5,1,53,,No men in title
Dept of Finance & Admn Svc,"Capital Prjts Coord,Sr",,,45.83,2,45.83,2,42.5,,No women in title
Dept of Finance & Admn Svc,Carpenter,30.28,2,30.28,2,30.28,4,223.25,100,
Dept of Finance & Admn Svc,Carpenter CC,,,34.75,1,34.75,1,31,,No women in title
Dept of Finance & Admn Svc,"Civil Engr,Sr",50.69,1,,,50.69,1,89,,No men in title
Dept of Finance & Admn Svc,Claims Adjuster-FAS,36.3,1,40.74,2,39.26,3,49.67,89.1,
Dept of Finance & Admn Svc,Complaint Investigator,31.76,2,31.76,1,31.76,3,102.67,100,
Dept of Finance & Admn Svc,Contract Anlyst,31.18,3,,,31.18,3,15,,No men in title
Dept of Finance & Admn Svc,Contrl Tech,,,33.09,1,33.09,1,6,,No women in title
Dept of Finance & Admn Svc,Cust Svc Rep,23.77,14,23.99,4,23.82,18,56.61,99.08,
Dept of Finance & Admn Svc,Cust Svc Rep Supv,30.35,1,30.35,1,30.35,2,85,100,
Dept of Finance & Admn Svc,"Cust Svc Rep,Sr",26.56,1,,,26.56,1,70,,No men in title
Dept of Finance & Admn Svc,Delivery Wkr,21.36,2,21.36,2,21.36,4,54.75,100,
Dept of Finance & Admn Svc,Elctn,36.25,1,36.25,3,36.25,4,51.5,100,
Dept of Finance & Admn Svc,Elctn CC,40.13,1,,,40.13,1,60,,No men in title
Dept of Finance & Admn Svc,Equip Svcr,,,24.26,9,24.26,9,143,,No women in title
Dept of Finance & Admn Svc,"Events Svc Rep,Sr",36.3,1,,,36.3,1,70,,No men in title
Dept of Finance & Admn Svc,"Exec Asst,Sr",44.74,1,,,44.74,1,133,,No men in title
Dept of Finance & Admn Svc,Executive2,59.55,5,59.4,7,59.46,12,61.5,100.26,
Dept of Finance & Admn Svc,Executive3,64.32,1,69.02,1,66.67,2,32.5,93.19,
Dept of Finance & Admn Svc,Executive4,,,74.03,1,74.03,1,37,,No women in title
Dept of Finance & Admn Svc,Facility Techl Supv,,,36.3,1,36.3,1,26,,No women in title
Dept of Finance & Admn Svc,Fin Anlyst,33.73,2,,,33.73,2,30,,No men in title
Dept of Finance & Admn Svc,"Fin Anlyst,Sr",,,39.22,2,39.22,2,92.5,,No women in title
Dept of Finance & Admn Svc,HVAC Tech,,,31.92,3,31.92,3,34,,No women in title
Dept of Finance & Admn Svc,"Info Technol Prof A,Exempt",54.94,2,56.63,1,55.5,3,113.33,97.01,
Dept of Finance & Admn Svc,Info Technol Prof B-BU,48.15,16,49.12,12,48.57,28,106.29,98.03,
Dept of Finance & Admn Svc,Info Technol Prof C-BU,43.9,3,37.75,2,41.44,5,86.2,116.3,
Dept of Finance & Admn Svc,Info Technol Systs Anlyst,,,38.48,3,38.48,3,147.33,,No women in title
Dept of Finance & Admn Svc,Investments/Debt Dir,,,78.83,1,78.83,1,61,,No women in title
Dept of Finance & Admn Svc,"Investments/Debt Dir,Asst",59.03,1,,,59.03,1,61,,No men in title
Dept of Finance & Admn Svc,"Janitor,Lead-FAS/CL",20.96,1,20.96,1,20.96,2,48.5,100,
Dept of Finance & Admn Svc,Janitor-FAS/CL,19.38,3,19.38,13,19.38,16,154.06,100,
Dept of Finance & Admn Svc,Janitorial CC-FAS,24.73,1,,,24.73,1,49,,No men in title
Dept of Finance & Admn Svc,Laborer,,,21.14,1,21.14,1,70,,No women in title
Dept of Finance & Admn Svc,Licenses&Standards Inspector,31.89,7,33.32,11,32.76,18,154.56,95.72,
Dept of Finance & Admn Svc,"Manager1,CSPI&P",40.32,1,,,40.32,1,28,,No men in title
Dept of Finance & Admn Svc,"Manager1,Fin,Bud,&Actg",39.72,2,43.68,1,41.04,3,71,90.94,
Dept of Finance & Admn Svc,"Manager1,General Govt",40.75,2,34.12,1,38.54,3,68,119.43,
Dept of Finance & Admn Svc,"Manager1,P&FM",,,44.98,2,44.98,2,121,,No women in title
Dept of Finance & Admn Svc,"Manager2,CSPI&P",47.92,1,,,47.92,1,66,,No men in title
Dept of Finance & Admn Svc,"Manager2,Exempt",47.95,1,,,47.95,1,72,,No men in title
Dept of Finance & Admn Svc,"Manager2,Fin,Bud,&Actg",48,2,,,48,2,41,,No men in title
Dept of Finance & Admn Svc,"Manager2,P&FM",51.92,1,50.19,3,50.62,4,30.75,103.46,
Dept of Finance & Admn Svc,"Manager2,PC&RM",50.29,1,,,50.29,1,3,,No men in title
Dept of Finance & Admn Svc,"Manager3,Exempt",,,52.04,3,52.04,3,15.33,,No women in title
Dept of Finance & Admn Svc,"Manager3,Fin,Bud,&Actg",,,48.8,2,48.8,2,22.5,,No women in title
Dept of Finance & Admn Svc,"Manager3,General Govt",52.58,1,49.49,1,51.03,2,47.5,106.25,
Dept of Finance & Admn Svc,"Manager3,P&FM",,,56.43,2,56.43,2,40,,No women in title
Dept of Finance & Admn Svc,"Manager3,PC&RM",52.69,2,,,52.69,2,46.5,,No men in title
Dept of Finance & Admn Svc,"Mat Handling Supv,General",,,37.7,1,37.7,1,35,,No women in title
Dept of Finance & Admn Svc,"Mech Engr,Sr",,,50.69,1,50.69,1,42,,No women in title
Dept of Finance & Admn Svc,Metal Fabricator,32.54,1,32.54,1,32.54,2,134,100,
Dept of Finance & Admn Svc,Metal Fabricator CC,,,34.57,1,34.57,1,29,,No women in title
Dept of Finance & Admn Svc,Mgmt Systs Anlyst,34.6,7,,,34.6,7,53.14,,No men in title
Dept of Finance & Admn Svc,"Mgmt Systs Anlyst,Asst",,,31.16,2,31.16,2,60,,No women in title
Dept of Finance & Admn Svc,"Mgmt Systs Anlyst,Sr",41.02,3,41.56,3,41.29,6,38,98.7,
Dept of Finance & Admn Svc,Paint&Body Supv,,,34.75,1,34.75,1,99,,No women in title
Dept of Finance & Admn Svc,Parking Meter Collector,,,21.36,5,21.36,5,227,,No women in title
Dept of Finance & Admn Svc,"Parking Meter Collector,Supvsg",,,25.77,1,25.77,1,190,,No women in title
Dept of Finance & Admn Svc,Payroll Supv,37.7,1,,,37.7,1,46,,No men in title
Dept of Finance & Admn Svc,Personnel Spec,33.69,1,,,33.69,1,103,,No men in title
Dept of Finance & Admn Svc,"Personnel Spec,Sr",35,2,36.3,1,35.43,3,37.67,96.4,
Dept of Finance & Admn Svc,"Plng&Dev Spec,Sr",43.1,1,43.1,2,43.1,3,50.67,100,
Dept of Finance & Admn Svc,Plumber,,,33.84,4,33.84,4,137.25,,No women in title
Dept of Finance & Admn Svc,Plumber CC,,,40.59,1,40.59,1,59,,No women in title
Dept of Finance & Admn Svc,Pntr,30.28,1,,,30.28,1,284,,No men in title
Dept of Finance & Admn Svc,"Pntr,Sr",,,31.66,1,31.66,1,59,,No women in title
Dept of Finance & Admn Svc,Property Mgmt Spec,45.51,3,44.71,2,45.19,5,74,101.79,
Dept of Finance & Admn Svc,"Rates Mgmt Anlyst,Sr",44.74,1,,,44.74,1,52,,No men in title
Dept of Finance & Admn Svc,Real Property Agent,,,38.22,1,38.22,1,54,,No women in title
Dept of Finance & Admn Svc,"Real Property Agent,Sr",,,45.39,3,45.39,3,10.67,,No women in title
Dept of Finance & Admn Svc,Remittance Proc Tech,22.56,2,,,22.56,2,213,,No men in title
Dept of Finance & Admn Svc,"Remittance Proc Tech,Sr",24.35,1,,,24.35,1,268,,No men in title
Dept of Finance & Admn Svc,Res&Eval Asst II,39.96,1,,,39.96,1,65,,No men in title
Dept of Finance & Admn Svc,Risk Mgmt Anlyst,,,36.3,1,36.3,1,75,,No women in title
Dept of Finance & Admn Svc,"Sfty&Hlth Spec,Sr",42.25,1,,,42.25,1,100,,No men in title
Dept of Finance & Admn Svc,Shop Opns Supv,,,41.55,5,41.55,5,91,,No women in title
Dept of Finance & Admn Svc,Spay&Neuter Tech,24.35,3,,,24.35,3,203,,No men in title
Dept of Finance & Admn Svc,Stat Maint Mach,,,31.4,1,31.4,1,64,,No women in title
Dept of Finance & Admn Svc,"StratAdvsr1,CSPI&P",34.12,1,,,34.12,1,54,,No men in title
Dept of Finance & Admn Svc,"StratAdvsr1,Fin,Bud,&Actg",47,1,,,47,1,1,,No men in title
Dept of Finance & Admn Svc,"StratAdvsr1,General Govt",42.63,3,46.35,1,43.56,4,60.5,91.98,
Dept of Finance & Admn Svc,"StratAdvsr2,Exempt",46.51,12,47.98,11,47.21,23,46.83,96.95,
Dept of Finance & Admn Svc,"StratAdvsr2,General Govt",,,50.12,4,50.12,4,46.25,,No women in title
Dept of Finance & Admn Svc,"StratAdvsr2,P&FM",50.64,1,,,50.64,1,112,,No men in title
Dept of Finance & Admn Svc,"StratAdvsr2,PC&RM",42.92,2,47.5,1,44.45,3,65.67,90.35,
Dept of Finance & Admn Svc,"StratAdvsr3,Exempt",59.37,1,,,59.37,1,17,,No men in title
Dept of Finance & Admn Svc,Supply&Inventory Tech,,,25.28,1,25.28,1,55,,No women in title
Dept of Finance & Admn Svc,Tax Auditor,34.33,4,34.31,5,34.32,9,50.78,100.05,
Dept of Finance & Admn Svc,"Tax Auditor,Asst",31.16,1,,,31.16,1,128,,No men in title
Dept of Finance & Admn Svc,"Tax Auditor,Sr",36.99,1,,,36.99,1,16,,No men in title
Dept of Finance & Admn Svc,Treasury Cashier,31.51,3,28.88,2,30.46,5,62,109.11,
Dept of Finance & Admn Svc,"Treasury Cashier,Sr",34.94,1,,,34.94,1,182,,No men in title
Dept of Finance & Admn Svc,"Warehouser,Chief",,,30.88,1,30.88,1,172,,No women in title
Dept of Finance & Admn Svc,"Warehouser,Sr-BU",26.5,5,26.5,3,26.5,8,164.25,100,
Dept of Finance & Admn Svc,Warehouser-BU,,,24.08,2,24.08,2,84,,No women in title
Ethics And Elections,Admin Spec II,,,24.35,1,24.35,1,42,,No women in title
Ethics And Elections,Executive2,,,67.42,1,67.42,1,60,,No women in title
Ethics And Elections,"Info Technol Prof B,Exempt",,,48.35,1,48.35,1,160,,No women in title
Ethics And Elections,"StratAdvsr1,Exempt",44.87,3,48.37,1,45.75,4,54,92.76,
Fire Department,"Accountant,Prin",39.96,1,,,39.96,1,70,,No men in title
Fire Department,Actg Tech I-BU,22.56,2,,,22.56,2,114,,No men in title
Fire Department,Actg Tech II-BU,24.35,4,,,24.35,4,112.25,,No men in title
Fire Department,Actg Tech III-BU,26.79,1,,,26.79,1,39,,No men in title
Fire Department,Admin Spec I-BU,22.56,7,,,22.56,7,95,,No men in title
Fire Department,Admin Spec II-BU,24.07,7,24.35,1,24.11,8,62.38,98.86,
Fire Department,Admin Spec III,26.26,2,,,26.26,2,39.5,,No men in title
Fire Department,Admin Spec III-BU,25.88,5,,,25.88,5,64.4,,No men in title
Fire Department,Admin Staff Asst,30.61,4,,,30.61,4,43,,No men in title
Fire Department,"Auto Engr,Sr",,,40.74,1,40.74,1,2,,No women in title
Fire Department,"Exec Asst,Sr",44.74,1,,,44.74,1,60,,No men in title
Fire Department,Executive2,,,69.83,3,69.83,3,44,,No women in title
Fire Department,Executive3,75.8,1,,,75.8,1,27,,No men in title
Fire Department,Executive4,,,90.92,4,90.92,4,52.75,,No women in title
Fire Department,Facilities Support Coord,,,39.2,1,39.2,1,54,,No women in title
Fire Department,Fire Battalion Chief-80 Hrs,,,65.85,1,65.85,1,10,,No women in title
Fire Department,Fire Battalion Chief-91.4 Hrs,59.25,1,57.8,22,57.86,23,71.48,102.51,
Fire Department,Fire Capt-80 Hrs,,,56.09,1,56.09,1,4,,No women in title
Fire Department,Fire Capt-91.40 Hrs,48.12,4,47.77,32,47.81,36,30.03,100.71,
Fire Department,Fire Capt-Admin-80 Hrs,57.39,1,57.39,2,57.39,3,17.33,100,
Fire Department,Fire Capt-Dispatcher-80 Hrs,,,58.14,1,58.14,1,10,,No women in title
Fire Department,Fire Capt-HM-91.40 Hrs,,,49.2,3,49.2,3,33.67,,No women in title
Fire Department,Fire Capt-MU-91.40 Hrs,,,50.07,2,50.07,2,52,,No women in title
Fire Department,Fire Capt-ParamedTechSrEMS-80,,,64.29,1,64.29,1,39,,No women in title
Fire Department,Fire Capt-Prev Inspector I,,,57.64,3,57.64,3,18,,No women in title
Fire Department,Fire Capt-Trng Div-80 Hrs,,,56.77,3,56.77,3,13.33,,No women in title
Fire Department,Fire Capt-TRT-91.40 Hrs,,,49.42,1,49.42,1,52,,No women in title
Fire Department,"Fire Chief,Dep-80 Hrs",,,75.26,5,75.26,5,29,,No women in title
Fire Department,"Fire Chief,Dep-91.4 Hrs",,,66.42,4,66.42,4,14,,No women in title
Fire Department,Fire Equip Tech,27.25,1,27.25,2,27.25,3,96.67,100,
Fire Department,Fire Lieut-80 Hrs,,,48.48,5,48.48,5,7,,No women in title
Fire Department,Fire Lieut-91.40 Hrs,42.42,11,41.87,93,41.93,104,37.48,101.31,
Fire Department,Fire Lieut-Admin-80 Hrs,,,49.3,2,49.3,2,10,,No women in title
Fire Department,Fire Lieut-Dispatcher-84 Hrs,,,49.62,4,49.62,4,162.75,,No women in title
Fire Department,Fire Lieut-HM-91.40 Hrs,43.81,1,43.85,8,43.85,9,41.33,99.9,
Fire Department,Fire Lieut-MU-91.40 Hrs,,,43.48,9,43.48,9,35,,No women in title
Fire Department,Fire Lieut-ParamedTechSr-84,,,52.63,4,52.63,4,79.5,,No women in title
Fire Department,Fire Lieut-ParamedTechSrAMR-80,,,57.12,1,57.12,1,21,,No women in title
Fire Department,Fire Lieut-ParamedTechSrEMS-80,,,56.38,1,56.38,1,6,,No women in title
Fire Department,Fire Lieut-Prev Inspector I,52.09,2,51.4,7,51.55,9,131.33,101.35,
Fire Department,Fire Lieut-Trng Div-80 Hrs,,,49.42,6,49.42,6,10,,No women in title
Fire Department,Fire Lieut-TRT-91.40 Hrs,,,43.81,3,43.81,3,52,,No women in title
Fire Department,Fire Protection Engr,,,40.05,4,40.05,4,92.75,,No women in title
Fire Department,"Fire Protection Engr,Sr",,,47.26,2,47.26,2,111,,No women in title
Fire Department,Fire Svcs Spec,,,27.25,1,27.25,1,266,,No women in title
Fire Department,Fireboat Engr-91.40 Hrs,,,48.44,4,48.44,4,52,,No women in title
Fire Department,Fireboat Pilot-91.40 Hrs,,,47.49,4,47.49,4,29.25,,No women in title
Fire Department,Fireftr-80 Hrs,,,40.93,2,40.93,2,12,,No women in title
Fire Department,Fireftr-91.40 Hrs,35.68,17,34.36,307,34.43,324,39.03,103.84,
Fire Department,Fireftr-Ap Drvr-80 Hrs,,,45.58,2,45.58,2,11.5,,No women in title
Fire Department,Fireftr-AP Drvr-91.40 Hrs,38.11,10,38.41,158,38.39,168,37.92,99.22,
Fire Department,Fireftr-Dispatcher-84 Hrs,43.58,14,43.16,9,43.42,23,127.35,100.98,
Fire Department,Fireftr-FIU Prev Insp I-84 Hrs,,,43.72,7,43.72,7,99.29,,No women in title
Fire Department,Fireftr-HM Ap Drvr-80 Hrs,,,45.58,1,45.58,1,5,,No women in title
Fire Department,Fireftr-HM Ap Drvr-91.40 Hrs,,,41,16,41,16,41,,No women in title
Fire Department,Fireftr-HM-80 Hrs,,,41.86,1,41.86,1,7,,No women in title
Fire Department,Fireftr-HM-91.40 Hrs,37.46,4,36.85,41,36.9,45,34.2,101.65,
Fire Department,Fireftr-MU Ap Drvr-91.40 Hrs,,,39.81,7,39.81,7,38.43,,No women in title
Fire Department,Fireftr-MU-91.40 Hrs,,,37.76,28,37.76,28,33.96,,No women in title
Fire Department,Fireftr-ParamedTech-91.40 Hrs,40.71,2,40.26,15,40.31,17,23.82,101.11,
Fire Department,Fireftr-ParamedTechSr-91.40,42.69,14,42.48,35,42.54,49,44.27,100.5,
Fire Department,Fireftr-Prev Insp I,45.89,3,46.06,10,46.02,13,101.62,99.63,
Fire Department,Fireftr-Staff10-91.40 Hrs,,,39.98,4,39.98,4,35.25,,No women in title
Fire Department,Fireftr-TRT Ap Drvr-91.40 Hrs,41.21,1,40.77,3,40.88,4,43,101.08,
Fire Department,Fireftr-TRT-91.40 Hrs,,,37.56,16,37.56,16,36.88,,No women in title
Fire Department,Fireftr-TRT-R1 Ap Drvr-91.40,,,40.39,4,40.39,4,30.25,,No women in title
Fire Department,"Info Technol Prof A,Exempt",62.85,2,,,62.85,2,105,,No men in title
Fire Department,Info Technol Prof B-BU,50.17,1,48.98,8,49.11,9,49.44,102.44,
Fire Department,Info Technol Prof C-BU,,,38.74,4,38.74,4,20.25,,No women in title
Fire Department,"Manager1,CSPI&P",47.76,1,,,47.76,1,184,,No men in title
Fire Department,"Manager2,Fin,Bud,&Actg",51.65,1,,,51.65,1,48,,No men in title
Fire Department,"Manager2,General Govt",54.2,1,,,54.2,1,13,,No men in title
Fire Department,Payroll Supv,37.7,1,,,37.7,1,144,,No men in title
Fire Department,Personnel Spec,29.99,2,,,29.99,2,9.5,,No men in title
Fire Department,"Personnel Spec,Sr",36.3,1,,,36.3,1,66,,No men in title
Fire Department,Publc Ed Prgm Spec,31.16,1,31.16,1,31.16,2,68.5,,
Fire Department,"Publc Relations Spec,Sr",,,36.3,1,36.3,1,23,,No women in title
Fire Department,Res&Eval Asst,,,29.41,1,29.41,1,99,,No women in title
Fire Department,"StratAdvsr1,Fin,Bud,&Actg",,,45.12,1,45.12,1,81,,No women in title
Fire Department,"StratAdvsr2,General Govt",38.6,1,51.37,1,44.99,2,49,75.15,
Fire Department,"StratAdvsr3,General Govt",,,52.95,1,52.95,1,27,,No women in title
Fire Department,"Trng&Ed Coord,Asst",26.79,1,,,26.79,1,45,,No men in title
Fire Department,"Trng&Ed Coord,Asst-BU",26.79,1,,,26.79,1,119,,No men in title
Fire Department,"Warehouser,Chief",,,30.88,1,30.88,1,82,,No women in title
Hearing Examiner,Admin Spec II,24.35,1,,,24.35,1,85,,No men in title
Hearing Examiner,Admin Staff Anlyst,36.3,1,,,36.3,1,55,,No men in title
Hearing Examiner,Hearing Examiner,72.07,1,,,72.07,1,116,,No men in title
Hearing Examiner,"Hearing Examiner,Dep",59.89,1,,,59.89,1,220,,No men in title
Hearing Examiner,Legal Asst,22.96,1,,,22.96,1,3,,No men in title
Housing,Accountant,,,30.92,1,30.92,1,84,,No women in title
